href;tomatometer;audience_score;genre;director;runtime;studio;cast;date
https://www.rottentomatoes.com/m/tiny_furniture-2009;80;54;Comedy;Lena Dunham;98 minutes;IFC;Lena Dunham|Laurie Simmons|Grace Dunham|Rachel Howe|Alex Karpovsky|Amy Seimetz;2010-11-11T16:00:00-08:00
https://www.rottentomatoes.com/m/broken_embraces;81;75;Art House & International|Comedy|Drama|Mystery & Suspense;Pedro Almodóvar;128 minutes;Sony Pictures Classics;Penelope Cruz|Blanca Portillo|José Luis Gómez|Rubén Ochandiano|Tamar Novas|Ángela Molina;2009-11-19T16:00:00-08:00
https://www.rottentomatoes.com/m/nine_queens;92;94;Drama|Mystery & Suspense;Fabián Bielinsky;115 minutes;Sony Pictures Classics;Ricardo Darín|Gastón Pauls|Leticia Brédice|Elsa Berenguer|Tomás Fonzi|Graciela Tenembaun;2002-04-18T17:00:00-07:00
https://www.rottentomatoes.com/m/todo_sobre_mi_madre_1999;98;93;Art House & International|Drama;Pedro Almodóvar;101 minutes;Sony Pictures Classics;Cecilia Roth|Marisa Paredes|Candela Pena|Antonia San Juan|Penelope Cruz|Rosa Maria Sarda;1999-04-15T17:00:00-07:00
https://www.rottentomatoes.com/m/the_bling_ring_2013;59;33;Drama;Sofia Coppola;90 minutes;A24 Films;Emma Watson|Israel Broussard|Taissa Farmiga|Katie Chang|Claire Pfister|Georgia Rock;2013-06-20T17:00:00-07:00
https://www.rottentomatoes.com/m/in_time;37;51;Mystery & Suspense|Science Fiction & Fantasy;Andrew Niccol;109 minutes;20th Century Fox;Justin Timberlake|Amanda Seyfried|Cillian Murphy|Vincent Kartheiser|Olivia Wilde|Matt Bomer;2011-10-27T17:00:00-07:00
https://www.rottentomatoes.com/m/life-of-pi;87;84;Action & Adventure|Drama;Ang Lee;127 minutes;20th Century Fox;Suraj Sharma|Irrfan Khan|Tabu|Gérard Depardieu|Adil Hussain|Ayush Tandon;2012-11-20T16:00:00-08:00
https://www.rottentomatoes.com/m/painted_veil;74;85;Drama|Romance;John Curran;124 minutes;Warner Independent Pictures;Naomi Watts|Edward Norton|Liev Schreiber|Diana Rigg|Toby Jones|Catherine An;2006-12-19T16:00:00-08:00
https://www.rottentomatoes.com/m/1193743-step_brothers;55;69;Comedy;Adam McKay;98 minutes;Columbia Pictures;Will Ferrell|John C. Reilly|Mary Steenburgen|Richard Jenkins|Adam Scott|Kathryn Hahn;2008-07-24T17:00:00-07:00
https://www.rottentomatoes.com/m/taken;58;85;Action & Adventure|Mystery & Suspense;Pierre Morel;91 minutes;20th Century Fox;Liam Neeson|Maggie Grace|Famke Janssen|Xander Berkeley|Katie Cassidy|Olivier Rabourdin;2009-01-29T16:00:00-08:00
https://www.rottentomatoes.com/m/departed;91;94;Action & Adventure|Drama|Mystery & Suspense;Martin Scorsese;152 minutes;Warner Bros. Pictures;Leonardo DiCaprio|Matt Damon|Jack Nicholson|Mark Wahlberg|Martin Sheen|Ray Winstone;2006-10-05T17:00:00-07:00
https://www.rottentomatoes.com/m/rain_man;90;90;Drama;Barry Levinson;133 minutes;MGM;Dustin Hoffman|Tom Cruise|Valeria Golino|Gerald R. Molen|Michael D. Roberts|Jack Murdock;1988-12-15T16:00:00-08:00
https://www.rottentomatoes.com/m/1078955-game;73;84;Mystery & Suspense;David Fincher;128 minutes;Universal Pictures;Michael Douglas|Sean Penn|Deborah Kara Unger|James Rebhorn|Peter Donat|Carroll Baker;1997-09-11T17:00:00-07:00
https://www.rottentomatoes.com/m/beautiful_mind;74;93;Drama;Ron Howard;135 minutes;Universal Pictures;Russell Crowe|Jennifer Connelly|Ed Harris|Christopher Plummer|Paul Bettany|Adam Goldberg;2001-12-20T16:00:00-08:00
https://www.rottentomatoes.com/m/the_art_of_getting_by;20;46;Comedy|Romance;Gavin Wiesen;83 minutes;Fox Searchlight;Freddie Highmore|Emma Roberts|Michael Angarano|Elizabeth Reaser|Sam Robards|Jarleth Conroy;2011-06-16T17:00:00-07:00
https://www.rottentomatoes.com/m/maid_in_manhattan;39;43;Comedy|Drama|Romance;Wayne Wang;105 minutes;Columbia Pictures;Ralph Fiennes|Jennifer Lopez|Natasha Richardson|Stanley Tucci|Bob Hoskins|Frances Conroy;2002-12-12T16:00:00-08:00
https://www.rottentomatoes.com/m/cruel_intentions;54;81;Drama;Roger Kumble;94 minutes;Columbia Pictures;Ryan Phillippe|Sarah Michelle Gellar|Reese Witherspoon|Selma Blair|Louise Fletcher|Joshua Jackson;1999-03-04T16:00:00-08:00
https://www.rottentomatoes.com/m/bad_education;88;86;Art House & International|Drama|Mystery & Suspense|Romance;Pedro Almodóvar;104 minutes;Sony Pictures Classics;Gael García Bernal|Fele Martínez|Daniel Giménez Cacho|Lluis Homar|Francisco Boira|Javier Cámara;2004-11-18T16:00:00-08:00
https://www.rottentomatoes.com/m/machuca;89;91;Art House & International|Drama;Andrés Wood;121 minutes;Menemsha Films;Matías Quer|Ariel Mateluna|Manuela Martelli|Ernesto Malbran|Aline Küppenheim|Federico Luppi;2004-02-23T16:00:00-08:00
https://www.rottentomatoes.com/m/the_perks_of_being_a_wallflower;86;89;Drama;Stephen Chbosky;103 minutes;Lionsgate Films;Logan Lerman|Emma Watson|Ezra Miller|Mae Whitman|Kate Walsh|Dylan McDermott;2012-09-20T17:00:00-07:00
https://www.rottentomatoes.com/m/ted_2012;68;73;Comedy;Seth MacFarlane;107 minutes;Universal Pictures;Mark Wahlberg|Mila Kunis|Seth MacFarlane|Giovanni Ribisi|Joel McHale|Matt Walsh;2012-06-28T17:00:00-07:00
https://www.rottentomatoes.com/m/tart;;30;Drama;Christina Wayne;91 minutes;LionsGate Entertainment;Dominique Swain|Brad Renfro|Bijou Phillips|Mischa Barton|Alberta Watson|Myles Jeffrey;2001-12-31T16:00:00-08:00
